id,x,y,from,to,length,freespeed,capacity,permlanes,oneway,modes
0,166027.01453117694,-5.534137544554338,0,1,5.555,15.646361111111112,2200.0,1.0,1,"car,walk,bike"
1,166027.0145310504,0.0,1,0,5.555,15.646361111111112,2200.0,1.0,1,"walk,bike"
10,168255.55685045244,-5.534035963652346,7,8,11.113,15.646361111111112,2200.0,1.0,1,"car,walk,bike"
100,170473.01833359565,4432.6823945639435,37,38,11.113,15.646361111111112,2200.0,1.0,1,"car,walk,bike"
101,170473.0179340446,4421.614523390071,38,37,11.113,15.646361111111112,2200.0,1.0,1,"walk,bike"
102,170484.16079338396,4432.681991824212,39,40,11.113,15.646361111111112,2200.0,1.0,1,"car,walk,bike"
103,166021.5240897574,4427.310244724286,40,39,11.113,15.646361111111112,2200.0,1.0,1,"walk,bike"
104,170478.5294320715,2213.574126946053,38,39,11.113,15.646361111111112,2200.0,1.0,1,"car,walk,bike"
105,166021.443096077,0.0,39,38,11.113,15.646361111111112,2200.0,1.0,1,"walk,bike"
106,167135.7249915657,0.0,40,37,11.113,15.646361111111112,2200.0,1.0,1,"car,walk,bike"
107,168249.99666028534,0.0,37,40,11.113,15.646361111111112,2200.0,1.0,1,"walk,bike"
108,169364.25813659566,0.0,40,17,1100.216,15.646361111111112,2200.0,1.0,1,"car,walk,bike"
109,170478.50945485476,0.0,17,40,1100.216,15.646361111111112,2200.0,1.0,1,"walk,bike"
11,168255.5568503267,0.0,8,7,11.113,15.646361111111112,2200.0,1.0,1,"walk,bike"
110,167135.80571402347,4427.269543230543,19,37,1100.216,15.646361111111112,2200.0,1.0,1,"car,walk,bike"
111,168250.07711153303,4427.228978258894,37,19,1100.216,15.646361111111112,2200.0,1.0,1,"walk,bike"
112,169364.33831664553,4427.188549803067,33,40,1100.216,15.646361111111112,2200.0,1.0,1,"car,walk,bike"
113,170478.58936371934,4427.148257856808,40,33,1100.216,15.646361111111112,2200.0,1.0,1,"walk,bike"
